Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language
31,Male,White,Portugal,Portugal,Portugal,Portuguese
31,Male,White,Portugal,Portugal,Portugal,Portuguese
44,Male,White,Poland,Poland,Poland,Polish
44,Male,White,Poland,Poland,Poland,Polish
25,Male,White,Poland,Poland,Poland,Polish
24,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech
42,Male,White,Canada,Canada,Canada,English
42,Male,White,Canada,Canada,Canada,English
51,Female,White,Italy,Italy,Italy,Italian
62,Male,White,United Kingdom,United Kingdom,United Kingdom,English
25,Female,White,Switzerland,Portugal,Portugal,Portuguese
25,Female,White,Switzerland,Portugal,Portugal,Portuguese
24,Male,Black,Zambia,South Africa,Congo the Democratic Republic of the,English
24,Male,Black,Zambia,South Africa,Congo the Democratic Republic of the,English
24,Male,Black,Zambia,South Africa,Congo the Democratic Republic of the,English
24,Male,Black,Zambia,South Africa,Congo the Democratic Republic of the,English
23,Male,White,Mexico,Mexico,Mexico,Spanish
31,Male,Other,Nigeria,United Kingdom,Nigeria,English
31,Male,Other,Nigeria,United Kingdom,Nigeria,English
31,Male,Other,Nigeria,United Kingdom,Nigeria,English
31,Male,Other,Nigeria,United Kingdom,Nigeria,English
31,Male,Other,Nigeria,United Kingdom,Nigeria,English
31,Male,Other,Nigeria,United Kingdom,Nigeria,English
28,Male,Asian,India,Ireland,India,Hindi
26,Female,Black,South Africa,South Africa,South Africa,English
26,Female,Black,South Africa,South Africa,South Africa,English
26,Female,Black,South Africa,South Africa,South Africa,English
21,Male,White,France,France,France,French
25,Female,White,Italy,Italy,Italy,Italian
25,Female,White,Italy,Italy,Italy,Italian
25,Female,White,Italy,Italy,Italy,Italian
21,Female,White,Portugal,Portugal,Portugal,Portuguese
21,Female,White,Portugal,Portugal,Portugal,Portuguese
40,Male,White,United States,Portugal,United States,Portuguese
24,Female,White,Poland,Poland,Poland,Polish
21,Male,White,Portugal,Portugal,Portugal,Portuguese
21,Male,White,Portugal,Portugal,Portugal,Portuguese
28,Male,Mixed,Chile,Chile,Chile,Spanish
25,Female,White,Portugal,Portugal,Portugal,Portuguese
25,Female,White,Portugal,Portugal,Portugal,Portuguese
25,Female,White,Portugal,Portugal,Portugal,Portuguese
25,Female,White,Portugal,Portugal,Portugal,Portuguese
25,Female,White,Portugal,Portugal,Portugal,Portuguese
22,Male,White,Germany,Germany,Germany,German
30,Female,White,Italy,Italy,Italy,Italian
30,Female,White,Italy,Italy,Italy,Italian
30,Female,White,Italy,Italy,Italy,Italian
30,Female,White,Italy,Italy,Italy,Italian
22,Male,White,Hungary,Hungary,Hungary,Hungarian
22,Male,White,Hungary,Hungary,Hungary,Hungarian
22,Male,White,Hungary,Hungary,Hungary,Hungarian
23,Male,White,Portugal,Portugal,Portugal,Portuguese
23,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
27,Male,White,Portugal,Portugal,Portugal,Portuguese
41,Male,White,Portugal,Portugal,Portugal,Portuguese
25,Male,White,Portugal,Portugal,Portugal,Portuguese
24,Male,White,Greece,Greece,Greece,Greek
24,Female,White,Spain,Spain,Spain,Catalan
34,Male,White,Netherlands,Netherlands,Netherlands,Chinese
28,Male,White,United Kingdom,United Kingdom,United Kingdom,English
29,Male,White,Portugal,Portugal,Portugal,Portuguese
29,Male,White,Portugal,Portugal,Portugal,Portuguese
26,Male,White,Italy,Italy,Italy,Italian
49,Male,White,Spain,Spain,Spain,Spanish
38,Male,White,United Kingdom,United Kingdom,United Kingdom,English
38,Male,White,United Kingdom,United Kingdom,United Kingdom,English
38,Male,White,United Kingdom,United Kingdom,United Kingdom,English
48,Male,White,United Kingdom,United Kingdom,United Kingdom,English
29,Male,White,Spain,Spain,Spain,Spanish
33,Female,White,United Kingdom,United Kingdom,United Kingdom,English
33,Female,White,United Kingdom,United Kingdom,United Kingdom,English
33,Female,White,United Kingdom,United Kingdom,United Kingdom,English
