null,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
26,1.0,spring-ws,MarshallingPayloadMethodProcessor,org.springframework.ws.server.endpoint.adapter.method.marshallingpayloadmethodprocessortest.supportsparameternounmarshallersupported,False,False,True
31,1.0,spring-ws,XPathParamMethodArgumentResolver,org.springframework.ws.server.endpoint.adapter.method.xpathparammethodargumentresolvertest.resolvenamespacesmethod,False,True,False
41,1.0,spring-ws,PayloadRootAnnotationMethodEndpointMapping,org.springframework.ws.server.endpoint.mapping.payloadrootannotationmethodendpointmappingtest.registrationsingle,False,True,True
58,1.0,spring-ws,AxiomUtils,org.springframework.ws.soap.axiom.support.axiomutilstest.testtonamespaceprefixundeclared,False,False,True
92,1.0,spring-ws,SoapFaultMappingExceptionResolver,org.springframework.ws.soap.server.endpoint.soapfaultmappingexceptionresolvertest.testresolveexceptionreceiversoap12,False,True,True
98,1.0,spring-ws,DefaultStrategiesHelper,org.springframework.ws.support.defaultstrategieshelpertest.testresourceconstructor,True,False,True
108,1.0,spring-ws,MockWebServiceClient,org.springframework.ws.test.server.mockwebserviceclienttest.createserverapplicationcontextdefaults,False,False,True
115,1.0,spring-ws,XPathExpectationsHelper,org.springframework.ws.test.support.matcher.xpathexpectationshelpertest.evaluatestointegermatch,False,True,True
123,1.0,spring-ws,MessageDispatcherServlet,org.springframework.ws.transport.http.messagedispatcherservlettest.testdetectwsdldefinitions,True,True,True
147,1.0,spring-ws,SchemaLoaderUtils,org.springframework.xml.validation.schemaloaderutilstest.testloadnonexistantschema,False,False,False
152,1.0,spring-ws,CommonsXsdSchemaCollection,org.springframework.xml.xsd.commons.commonsxsdschemacollectiontest.testincludesandimports,False,True,False
3,1.0,spring-ws,WebServiceTemplate,org.springframework.ws.client.core.webservicetemplatetest.testsendandreceivemessagenoresponse,False,True,False
4,1.0,spring-ws,WebServiceTemplate,org.springframework.ws.client.core.webservicetemplatetest.testsendandreceiveresultnoresponse,False,True,True
18,1.0,spring-ws,MessageMethodEndpointAdapter,org.springframework.ws.server.endpoint.adapter.messagemethodendpointadaptertest.unsupportedwrongparam,True,False,True
28,1.0,spring-ws,StaxPayloadMethodArgumentResolver,org.springframework.ws.server.endpoint.adapter.method.staxpayloadmethodargumentresolvertest.resolveeventreaderaxiomnoncaching,False,False,True
55,1.0,spring-ws,SimpleActionEndpointMapping,org.springframework.ws.soap.addressing.server.simpleactionendpointmappingtest.testnomatch,False,True,False
57,1.0,spring-ws,AxiomUtils,org.springframework.ws.soap.axiom.support.axiomutilstest.testtolanguage,True,False,False
84,1.0,spring-ws,SoapActionEndpointMapping,org.springframework.ws.soap.server.endpoint.mapping.soapactionendpointmappingtest.testvalidatelookupkey,False,False,True
85,1.0,spring-ws,SoapFaultAnnotationExceptionResolver,org.springframework.ws.soap.server.endpoint.soapfaultannotationexceptionresolvertest.testresolveexceptiondefault,False,True,False
87,1.0,spring-ws,SoapFaultAnnotationExceptionResolver,org.springframework.ws.soap.server.endpoint.soapfaultannotationexceptionresolvertest.testresolveexceptionserversoap11,False,True,False
