null,idProject,nameProject,productionClass,testCase,isTestRedundancy,isTestRedundancyManual,prediction
86,3.0,struts,ServletActionContext,org.apache.struts2.servletactioncontexttest.testcontextparams,False,False,True
100,3.0,struts,StrutsTypeConverter,org.apache.struts2.util.strutstypeconvertertest.testfallbackconversion,False,False,True
1,3.0,struts,InstantiatingNullHandler,com.opensymphony.xwork2.conversion.impl.instantiatingnullhandlertest.testblank,False,False,True
2,3.0,struts,ContainerImpl,com.opensymphony.xwork2.inject.containerimpltest.testearlyinitializable,False,False,True
11,3.0,struts,PrepareInterceptor,com.opensymphony.xwork2.interceptor.prepareinterceptortest.testfirstcallpreparedoisfalse,False,False,True
15,3.0,struts,SecurityMemberAccess,com.opensymphony.xwork2.ognl.securitymemberaccesstest.testmiddleofinheritanceexclusion1,False,True,True
40,3.0,struts,PackageBasedActionConfigBuilder,org.apache.struts2.convention.packagebasedactionconfigbuildertest.testexcludedpackages,False,False,True
41,3.0,struts,SEOActionNameBuilder,org.apache.struts2.convention.seoactionnamebuildertest.testemptyactionname,False,False,True
62,3.0,struts,JSONPopulator,org.apache.struts2.json.jsonpopulatortest.testinfiniteloop,False,False,True
77,3.0,struts,DefaultHttpHeaders,org.apache.struts2.rest.defaulthttpheaderstest.testapplyfulllocation,False,False,True
96,3.0,struts,RegexPatternMatcher,org.apache.struts2.util.regexpatternmatchertest.testcompile0,False,False,True
101,3.0,struts,TokenHelper,org.apache.struts2.util.tokenhelpertest.testsetsessiontoken,False,False,True
0,3.0,struts,AllowedMethods,com.opensymphony.xwork2.config.entities.allowedmethodstest.testregexmethods,False,False,True
9,3.0,struts,PrefixMethodInvocationUtil,com.opensymphony.xwork2.interceptor.prefixmethodinvocationutiltest.testinvokeprefixmethod1,False,False,True
10,3.0,struts,PrefixMethodInvocationUtil,com.opensymphony.xwork2.interceptor.prefixmethodinvocationutiltest.testinvokeprefixmethod4,False,True,True
25,3.0,struts,ResolverUtil,com.opensymphony.xwork2.util.resolverutiltest.testfindnamedresource,False,False,True
53,3.0,struts,I18nInterceptor,org.apache.struts2.interceptor.i18ninterceptortest.testnosessionbutlocale,False,False,True
66,3.0,struts,PortletAwareInterceptor,org.apache.struts2.portlet.interceptor.portletawareinterceptortest.testportletrequestisset,False,False,True
81,3.0,struts,RestActionInvocation,org.apache.struts2.rest.restactioninvocationtest.testresultnotmodified,False,False,True
87,3.0,struts,FileDownloadAction,org.apache.struts2.showcase.filedownload.filedownloadactiontest.testsanitizeinputpathshouldallowsimpleparameter,False,False,True
97,3.0,struts,RegexPatternMatcher,org.apache.struts2.util.regexpatternmatchertest.testcompilebad1,False,False,True
98,3.0,struts,RegexPatternMatcher,org.apache.struts2.util.regexpatternmatchertest.testcompilenamedparams1,False,False,True
3,3.0,struts,ContainerImpl,com.opensymphony.xwork2.inject.containerimpltest.testinitializable,False,False,True
27,3.0,struts,DefaultValidatorFileParser,com.opensymphony.xwork2.validator.defaultvalidatorfileparsertest.testparserwithbadxml,False,True,True
33,3.0,struts,ConventionUnknownHandler,org.apache.struts2.convention.conventionunknownhandlertest.testfindresourceshouldsetcanonicalizedpathonresource,False,False,False
50,3.0,struts,EmbeddedJSPResult,org.apache.struts2.embeddedjspresulttest.testjstl,False,False,True
55,3.0,struts,I18nInterceptor,org.apache.struts2.interceptor.i18ninterceptortest.testreallocalesinparams,False,False,True
68,3.0,struts,PortletSessionMap,org.apache.struts2.portlet.portletsessionmaptest.testremove,False,False,False
76,3.0,struts,DefaultHttpHeaders,org.apache.struts2.rest.defaulthttpheaderstest.testapply,False,False,True
84,3.0,struts,RestActionMapper,org.apache.struts2.rest.restactionmappertest.testputmapping,False,False,True
95,3.0,struts,PrefixTrie,org.apache.struts2.util.prefixtrietest.testputget,False,False,False
9,5.0,wro4j,FilterConfigWroConfigurationFactory,ro.isdc.wro.config.factory.testfilterconfigwroconfigurationfactory.testconfigurecacheupdateperiod,False,False,False
19,5.0,wro4j,DefaultMetaDataFactory,ro.isdc.wro.config.metadata.testdefaultmetadatafactory.shouldcreateemptymapbydefault,False,False,False
35,5.0,wro4j,LessCssProcessor,ro.isdc.wro.extensions.processor.css.testlesscssprocessor.shouldsupportcorrectresourcetypes,False,False,False
41,5.0,wro4j,NgMinProcessor,ro.isdc.wro.extensions.processor.js.testngminprocessor.testfromfolder,False,False,False
49,5.0,wro4j,JsHint,ro.isdc.wro.extensions.processor.support.linter.testjshint.testsetnulloptions,False,False,False
67,5.0,wro4j,HoganJsProcessor,ro.isdc.wro.extensions.processor.testhoganjsprocessor.shouldsupportcorrectresourcetypes,False,False,False
70,5.0,wro4j,Less4jProcessor,ro.isdc.wro.extensions.processor.testless4jprocessor.shouldbethreadsafe,False,False,False
85,5.0,wro4j,RhinoTypeScriptProcessor,ro.isdc.wro.extensions.processor.testrhinotypescriptprocessor.shouldsupportcorrectresourcetypes,False,False,False
86,5.0,wro4j,RubySassCssProcessor,ro.isdc.wro.extensions.processor.testrubysasscssprocessor.executemultipletimesdoesntthrowoutofmemoryexception,False,False,False
96,5.0,wro4j,DefaultConfigurableProvider,ro.isdc.wro.extensions.support.spi.testdefaultconfigurableprovider.shouldhavepostprocessors,False,False,False
100,5.0,wro4j,LazyRequestHandlerDecorator,ro.isdc.wro.http.handler.testlazyrequesthandlerdecorator.cannotdecoratenullinitializer,False,False,False
103,5.0,wro4j,ResourceProxyRequestHandler,ro.isdc.wro.http.handler.testresourceproxyrequesthandler.shouldalwaysbeenabled,False,False,False
113,5.0,wro4j,RedirectedStreamServletResponseWrapper,ro.isdc.wro.http.support.testredirectedstreamservletresponsewrapper.shouldredirectstreamwhensendredirectisinvoked,False,False,False
114,5.0,wro4j,ResponseHeadersConfigurer,ro.isdc.wro.http.support.testresponseheadersconfigurer.shouldhavenoconfiguredheaderswhendefaultheadersarenotset,False,False,False
118,5.0,wro4j,ServletContextAttributeHelper,ro.isdc.wro.http.support.testservletcontextattributehelper.shouldloadwromanagerfactoryfromservletcontextattribute,False,False,False
119,5.0,wro4j,ConfigurableWroFilter,ro.isdc.wro.http.testconfigurablewrofilter.cannotacceptinvalidprocessornameconfiguration,False,False,False
124,5.0,wro4j,WroFilter,ro.isdc.wro.http.testwrofilter.shouldnotacceptnullrequesthandlers,False,False,False
142,5.0,wro4j,ConfigurableWroManagerFactory,ro.isdc.wro.manager.factory.testconfigurablewromanagerfactory.cannotuseinvalidurilocatorsset,False,False,False
181,5.0,wro4j,CssLintMojo,ro.isdc.wro.maven.plugin.testcsslintmojo.shouldgeneratexmlreportfilewithcheckstyleformat,False,False,False
191,5.0,wro4j,JsLintMojo,ro.isdc.wro.maven.plugin.testjslintmojo.shouldgeneratereportwithdefaultformat,False,False,False
208,5.0,wro4j,XmlModelFactory,ro.isdc.wro.model.factory.testxmlmodelfactory.shoulddetectinvalidgroupreference,False,False,False
210,5.0,wro4j,XmlModelFactory,ro.isdc.wro.model.factory.testxmlmodelfactory.testinvalidimports,False,False,False
227,5.0,wro4j,ConfigurableLocatorFactory,ro.isdc.wro.model.resource.locator.factory.testconfigurablelocatorfactory.shouldnotfailwhenasingleproviderfails,False,False,False
231,5.0,wro4j,DispatcherStreamLocator,ro.isdc.wro.model.resource.locator.support.testdispatcherstreamlocator.cannotchecknullrequestasincluded,False,False,False
232,5.0,wro4j,DispatcherStreamLocator,ro.isdc.wro.model.resource.locator.support.testdispatcherstreamlocator.cannotlocateinvalidlocation,False,False,False
251,5.0,wro4j,CopyrightKeeperProcessorDecorator,ro.isdc.wro.model.resource.processor.decorator.testcopyrightkeeperprocessordecorator.testcopyrightstripperprocessor,False,False,False
253,5.0,wro4j,ExceptionHandlingProcessorDecorator,ro.isdc.wro.model.resource.processor.decorator.testexceptionhandlingprocessordecorator.shouldthrowruntimeexceptionwhenprocessingfails,False,False,False
257,5.0,wro4j,ImportAwareProcessorDecorator,ro.isdc.wro.model.resource.processor.decorator.testimportawareprocessordecorator.shouldinvokeimportawareprocessor,False,False,False
266,5.0,wro4j,ProcessorDecorator,ro.isdc.wro.model.resource.processor.decorator.testprocessordecorator.shoulddecoratepostprocessor,False,False,False
268,5.0,wro4j,SupportAwareProcessorDecorator,ro.isdc.wro.model.resource.processor.decorator.testsupportawareprocessordecorator.shouldthrowexceptionwhenprocessorisnotsupported,False,False,False
291,5.0,wro4j,LessCssImportPreProcessor,ro.isdc.wro.model.resource.processor.testlesscssimportpreprocessor.shouldsupportcorrectresourcetypes,False,False,False
295,5.0,wro4j,PlaceholderProcessor,ro.isdc.wro.model.resource.processor.testplaceholderprocessor.testprocessor,False,False,False
301,5.0,wro4j,ResourceChangeInfo,ro.isdc.wro.model.resource.support.change.testresourcechangeinfo.cannotupdatehashfornullgroup,False,False,False
320,5.0,wro4j,TimestampNamingStrategy,ro.isdc.wro.model.resource.support.naming.testtimestampnamingstrategy.testnoextension,False,False,False
337,5.0,wro4j,ProxyFactory,ro.isdc.wro.util.testproxyfactory.shouldinheritinterfacesoftheobject,False,False,False
3,5.0,wro4j,DefaultSynchronizedCacheStrategyDecorator,ro.isdc.wro.cache.support.testdefaultsynchronizedcachestrategydecorator.shoulddecoratecachestrategy,False,False,False
21,5.0,wro4j,ModelAsJsonRequestHandler,ro.isdc.wro.extensions.http.handler.testmodelasjsonrequesthandler.shouldnotacceptrequestswithwronguri,False,False,False
31,5.0,wro4j,GroovyModelFactory,ro.isdc.wro.extensions.model.factory.testgroovymodelfactory.testrecursivegroupreference,False,False,False
44,5.0,wro4j,CssLint,ro.isdc.wro.extensions.processor.support.csslint.testcsslint.testregexselectors,False,False,False
54,5.0,wro4j,RubySassEngine,ro.isdc.wro.extensions.processor.support.sass.testrubysassengine.shouldprocessvalidcss,False,False,False
56,5.0,wro4j,RubySassEngine,ro.isdc.wro.extensions.processor.support.sass.testrubysassengine.shouldreturnemptystringwhenemptycontentisprocessed,False,False,False
59,5.0,wro4j,CJsonProcessor,ro.isdc.wro.extensions.processor.testcjsonprocessor.shouldbethreadsafe,False,False,False
68,5.0,wro4j,JsHintProcessor,ro.isdc.wro.extensions.processor.testjshintprocessor.cansetnulloptions,False,False,False
79,5.0,wro4j,PathPatternProcessorDecorator,ro.isdc.wro.extensions.processor.testpathpatternprocessordecorator.cannotprocesswithincludewhenresourceisunknown,False,False,False
110,5.0,wro4j,ContentTypeResolver,ro.isdc.wro.http.support.testcontenttyperesolver.shouldresolvejsextenstion,False,False,False
122,5.0,wro4j,ConfigurableWroFilter,ro.isdc.wro.http.testconfigurablewrofilter.testfilterwithpropertiesset,False,False,False
135,5.0,wro4j,BaseWroManagerFactory,ro.isdc.wro.manager.factory.testbasewromanagerfactory.defaultmodelfactoryisxml,False,False,False
141,5.0,wro4j,ConfigurableWroManagerFactory,ro.isdc.wro.manager.factory.testconfigurablewromanagerfactory.cannotuseinvalidpreprocessorsset,False,False,False
143,5.0,wro4j,ConfigurableWroManagerFactory,ro.isdc.wro.manager.factory.testconfigurablewromanagerfactory.shouldhavenolocatorswhennolocatorsinitparamset,False,False,False
146,5.0,wro4j,ConfigurableWroManagerFactory,ro.isdc.wro.manager.factory.testconfigurablewromanagerfactory.testwithemptypreprocessors,False,False,False
164,5.0,wro4j,WroManager,ro.isdc.wro.manager.testwromanager.testfromfolder,False,False,False
200,5.0,wro4j,Wro4jMojo,ro.isdc.wro.maven.plugin.testwro4jmojo.testmojowithcustommanagerfactorywithinvalidresourceandignoremissingresources,False,False,False
202,5.0,wro4j,Wro4jMojo,ro.isdc.wro.maven.plugin.testwro4jmojo.testonlycssdestinationfolderset,False,False,False
209,5.0,wro4j,XmlModelFactory,ro.isdc.wro.model.factory.testxmlmodelfactory.testdeeprecursiveimports,False,False,False
216,5.0,wro4j,InjectorBuilder,ro.isdc.wro.model.group.processor.testinjectorbuilder.cannotacceptwhensettingnullwromanager,False,False,False
222,5.0,wro4j,DefaultGroupExtractor,ro.isdc.wro.model.group.testdefaultgroupextractor.testminimizedwithfalseparamindeploymentmode,False,False,False
245,5.0,wro4j,DefaultWildcardStreamLocator,ro.isdc.wro.model.resource.locator.wildcard.testdefaultwildcardstreamlocator.testwildcardlocator,False,False,False
247,5.0,wro4j,DefaultWildcardStreamLocator,ro.isdc.wro.model.resource.locator.wildcard.testdefaultwildcardstreamlocator.testwildcardpresent3,False,False,False
250,5.0,wro4j,JarWildcardStreamLocator,ro.isdc.wro.model.resource.locator.wildcard.testjarwildcardstreamlocator.testlocatejarstreamdelegate,False,False,False
263,5.0,wro4j,ProcessorDecorator,ro.isdc.wro.model.resource.processor.decorator.testprocessordecorator.shouldchangeminimizaflagwheninternalmethodisoverriden,False,False,False
267,5.0,wro4j,SupportAwareProcessorDecorator,ro.isdc.wro.model.resource.processor.decorator.testsupportawareprocessordecorator.cannotdecoratenullprocessor,False,False,False
270,5.0,wro4j,CssImportInspector,ro.isdc.wro.model.resource.processor.support.testcssimportinspector.shouldremoveimports,False,False,False
285,5.0,wro4j,CssUrlRewritingProcessor,ro.isdc.wro.model.resource.processor.testcssurlrewritingprocessor.processurlresourcetype,False,False,False
290,5.0,wro4j,JSMinProcessor,ro.isdc.wro.model.resource.processor.testjsminprocessor.shouldremovebyteordermark,False,False,False
292,5.0,wro4j,LessCssImportPreProcessor,ro.isdc.wro.model.resource.processor.testlesscssimportpreprocessor.testfromfolder,False,False,False
298,5.0,wro4j,VariablizeColorsCssProcessor,ro.isdc.wro.model.resource.processor.testvariablizecolorscssprocessor.testfromfolder,False,False,False
309,5.0,wro4j,ConfigurableHashStrategy,ro.isdc.wro.model.resource.support.hash.testconfigurablehashstrategy.shouldusecrc32strategyforvalidalias,False,False,False
310,5.0,wro4j,HashStrategy,ro.isdc.wro.model.resource.support.hash.testhashstrategy.testsha1,False,False,False
316,5.0,wro4j,FolderHashEncoderNamingStrategy,ro.isdc.wro.model.resource.support.naming.testfolderhashencodernamingstrategy.shouldrenameresourcewithemptycontent,False,False,False
5,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testdoublevalues,False,False,False
16,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testincludeswithfallback,False,False,False
23,50.0,hadoop,Configuration,org.apache.hadoop.conf.testconfiguration.testvariablesubstitution,False,False,False
24,50.0,hadoop,ConfServlet,org.apache.hadoop.conf.testconfservlet.testgetproperty,False,False,False
31,50.0,hadoop,KMS,org.apache.hadoop.crypto.key.kms.server.testkms.testkmswithzkdtsm,False,False,False
41,50.0,hadoop,LoadBalancingKMSClientProvider,org.apache.hadoop.crypto.key.kms.testloadbalancingkmsclientprovider.testwarmupencryptedkeyswhenoneprovidersucceeds,False,False,False
43,50.0,hadoop,CachingKeyProvider,org.apache.hadoop.crypto.key.testcachingkeyprovider.testrollnewversion,False,False,False
57,50.0,hadoop,AzureADTokenProvider,org.apache.hadoop.fs.adl.testazureadtokenprovider.testrefreshtokenwithcredentialproviderfallback,False,False,False
60,50.0,hadoop,AliyunOSSFileSystemStore,org.apache.hadoop.fs.aliyun.oss.testaliyunossfilesystemstore.testlargeupload,False,False,False
61,50.0,hadoop,AliyunOSSInputStream,org.apache.hadoop.fs.aliyun.oss.testaliyunossinputstream.testossfilereadertask,False,False,False
92,50.0,hadoop,FsPermission,org.apache.hadoop.fs.permission.testfspermission.testumaskparser,False,False,False
111,50.0,hadoop,Tasks,org.apache.hadoop.fs.s3a.commit.testtasks.testrevertallsuppressed,False,False,False
120,50.0,hadoop,LocalMetadataStore,org.apache.hadoop.fs.s3a.s3guard.testlocalmetadatastore.testclearbyancestor,False,False,False
121,50.0,hadoop,PathMetadataDynamoDBTranslation,org.apache.hadoop.fs.s3a.s3guard.testpathmetadatadynamodbtranslation.testisauthoritativecompatibilityitemtopathmetadata,False,False,False
124,50.0,hadoop,PathMetadataDynamoDBTranslation,org.apache.hadoop.fs.s3a.s3guard.testpathmetadatadynamodbtranslation.testpathtoparentkeyattribute,False,False,False
131,50.0,hadoop,Invoker,org.apache.hadoop.fs.s3a.testinvoker.tests3500isstatus500exception,False,False,False
139,50.0,hadoop,SFTPFileSystem,org.apache.hadoop.fs.sftp.testsftpfilesystem.testcreatefile,False,False,False
141,50.0,hadoop,SFTPFileSystem,org.apache.hadoop.fs.sftp.testsftpfilesystem.testrenamefile,False,False,False
179,50.0,hadoop,FileSystem,org.apache.hadoop.fs.testfilesystem.testfsclose,False,False,False
189,50.0,hadoop,FileUtil,org.apache.hadoop.fs.testfileutil.testuntar,False,False,False
198,50.0,hadoop,GetSpaceUsed,org.apache.hadoop.fs.testgetspaceused.testbuilderconf,False,False,False
206,50.0,hadoop,LocalDirAllocator,org.apache.hadoop.fs.testlocaldirallocator.testlocalpathforwritedircreation,False,False,False
235,50.0,hadoop,ActiveStandbyElector,org.apache.hadoop.ha.testactivestandbyelector.testcreatenoderesultretrybecomeactive,False,False,False
236,50.0,hadoop,ActiveStandbyElector,org.apache.hadoop.ha.testactivestandbyelector.testfailtobecomeactive,False,False,False
241,50.0,hadoop,FailoverController,org.apache.hadoop.ha.testfailovercontroller.testfailovertofaultyservicefailsbackok,False,False,False
242,50.0,hadoop,FailoverController,org.apache.hadoop.ha.testfailovercontroller.testfailovertononexistantservicefails,False,False,False
246,50.0,hadoop,FailoverController,org.apache.hadoop.ha.testfailovercontroller.testwefenceonfailbackiftransitiontoactivefails,False,False,False
250,50.0,hadoop,NodeFencer,org.apache.hadoop.ha.testnodefencer.testshortnamesshwithuserport,False,False,False
261,50.0,hadoop,CommandStatusReportHandler,org.apache.hadoop.hdds.scm.command.testcommandstatusreporthandler.testcommandstatusreport,False,False,False
292,50.0,hadoop,BlockReaderLocal,org.apache.hadoop.hdfs.client.impl.testblockreaderlocal.testblockreaderlocalreadzerobytesnochecksum,False,False,False
339,50.0,hadoop,Journal,org.apache.hadoop.hdfs.qjournal.server.testjournal.testjournallocking,False,False,False
360,50.0,hadoop,BlockManager,org.apache.hadoop.hdfs.server.blockmanagement.testblockmanager.testmetasavemissingreplicas,False,False,False
364,50.0,hadoop,BlockManager,org.apache.hadoop.hdfs.server.blockmanagement.testblockmanager.testucblocknotconsideredmissing,False,False,False
404,50.0,hadoop,RoundRobinVolumeChoosingPolicy,org.apache.hadoop.hdfs.server.datanode.fsdataset.testroundrobinvolumechoosingpolicy.testrrpolicyexceptionmessage,False,False,False
420,50.0,hadoop,DataNodeMXBean,org.apache.hadoop.hdfs.server.datanode.testdatanodemxbean.testdatanodemxbeanslowdisksenabled,False,False,False
428,50.0,hadoop,SimulatedFSDataset,org.apache.hadoop.hdfs.server.datanode.testsimulatedfsdataset.testfsdatasetfactory,False,False,False
436,50.0,hadoop,Planner,org.apache.hadoop.hdfs.server.diskbalancer.testplanner.testgreedyplannerequaldisksnomoves,False,False,False
453,50.0,hadoop,MountTable,org.apache.hadoop.hdfs.server.federation.store.records.testmounttable.testquota,False,False,False
456,50.0,hadoop,Mover,org.apache.hadoop.hdfs.server.mover.testmover.testmovercliwithhaconf,False,False,False
459,50.0,hadoop,Mover,org.apache.hadoop.hdfs.server.mover.testmover.testmovewhenstoragepolicysatisfierisrunning,False,False,False
461,50.0,hadoop,Mover,org.apache.hadoop.hdfs.server.mover.testmover.testwithfederateclusterwithinsamenode,False,False,False
509,50.0,hadoop,BackupNode,org.apache.hadoop.hdfs.server.namenode.testbackupnode.testbackupnodetailsedits,False,False,False
525,50.0,hadoop,FSImage,org.apache.hadoop.hdfs.server.namenode.testfsimage.testpersist,False,False,False
531,50.0,hadoop,FSNamesystemMBean,org.apache.hadoop.hdfs.server.namenode.testfsnamesystemmbean.test,False,False,False
540,50.0,hadoop,HDFSConcat,org.apache.hadoop.hdfs.server.namenode.testhdfsconcat.testconcatrelativetargetpath,False,False,False
546,50.0,hadoop,INodeFile,org.apache.hadoop.hdfs.server.namenode.testinodefile.testgetfullpathname,False,False,False
555,50.0,hadoop,NameNodeMXBean,org.apache.hadoop.hdfs.server.namenode.testnamenodemxbean.testnndirectorysize,False,False,False
563,50.0,hadoop,NNThroughputBenchmark,org.apache.hadoop.hdfs.server.namenode.testnnthroughputbenchmark.testnnthroughput,False,False,False
566,50.0,hadoop,SingleUGIResolver,org.apache.hadoop.hdfs.server.namenode.testsingleugiresolver.testinvaliduid,False,False,False
591,50.0,hadoop,BlockStoragePolicy,org.apache.hadoop.hdfs.testblockstoragepolicy.testconfigkeydisabled,False,False,False
592,50.0,hadoop,BlockStoragePolicy,org.apache.hadoop.hdfs.testblockstoragepolicy.testdefaultpolicies,False,False,False
593,50.0,hadoop,BlockStoragePolicy,org.apache.hadoop.hdfs.testblockstoragepolicy.testgetallstoragepoliciesfromfs,False,False,False
633,50.0,hadoop,DistributedFileSystem,org.apache.hadoop.hdfs.testdistributedfilesystem.testliststatusofsnapshotdirs,False,False,False
639,50.0,hadoop,FileChecksum,org.apache.hadoop.hdfs.testfilechecksum.teststripedfilechecksum5,False,False,False
645,50.0,hadoop,FileStatus,org.apache.hadoop.hdfs.testfilestatus.testliststatusonfile,False,False,False
665,50.0,hadoop,SnapshotCommands,org.apache.hadoop.hdfs.testsnapshotcommands.testdisallowsnapshot,False,False,False
669,50.0,hadoop,OfflineImageViewer,org.apache.hadoop.hdfs.tools.offlineimageviewer.testofflineimageviewer.testfiledistributioncalculatorforexception,False,False,False
673,50.0,hadoop,DelegationTokenFetcher,org.apache.hadoop.hdfs.tools.testdelegationtokenfetcher.testreturnedtokenisnull,False,False,False
676,50.0,hadoop,DFSAdmin,org.apache.hadoop.hdfs.tools.testdfsadmin.testdfsadminunreachabledatanode,False,False,False
710,50.0,hadoop,Param,org.apache.hadoop.hdfs.web.resources.testparam.testaccesstimeparam,False,False,False
713,50.0,hadoop,Param,org.apache.hadoop.hdfs.web.resources.testparam.testpermissionparam,False,False,False
720,50.0,hadoop,ByteRangeInputStream,org.apache.hadoop.hdfs.web.testbyterangeinputstream.testbyterange,False,False,False
735,50.0,hadoop,HtmlQuoting,org.apache.hadoop.http.testhtmlquoting.testroundtrip,False,False,False
736,50.0,hadoop,CodecPool,org.apache.hadoop.io.compress.testcodecpool.testmultithreadeddecompressorpool,False,False,False
745,50.0,hadoop,CodecRegistry,org.apache.hadoop.io.erasurecode.testcodecregistry.testupdatecoders,False,False,False
758,50.0,hadoop,RetryProxy,org.apache.hadoop.io.retry.testretryproxy.testtryoncethenfail,False,False,False
761,50.0,hadoop,WritableSerialization,org.apache.hadoop.io.serializer.testwritableserialization.testwritablecomparatorjavaserialization,False,False,False
762,50.0,hadoop,WritableSerialization,org.apache.hadoop.io.serializer.testwritableserialization.testwritableconfigurable,False,False,False
764,50.0,hadoop,ArrayWritable,org.apache.hadoop.io.testarraywritable.testarraywritabletoarray,False,False,False
767,50.0,hadoop,BloomMapFile,org.apache.hadoop.io.testbloommapfile.testioexceptioninwriterconstructor,False,False,False
770,50.0,hadoop,BytesWritable,org.apache.hadoop.io.testbyteswritable.testcompare,False,False,False
774,50.0,hadoop,GenericWritable,org.apache.hadoop.io.testgenericwritable.testset,False,False,False
789,50.0,hadoop,SortedMapWritable,org.apache.hadoop.io.testsortedmapwritable.testsortedmapwritable,False,False,False
791,50.0,hadoop,Text,org.apache.hadoop.io.testtext.testbytestocodepoint,False,False,False
804,50.0,hadoop,FairCallQueue,org.apache.hadoop.ipc.testfaircallqueue.testpeekpointsathead,False,False,False
806,50.0,hadoop,FairCallQueue,org.apache.hadoop.ipc.testfaircallqueue.testpolltimeout,False,False,False
808,50.0,hadoop,MiniRPCBenchmark,org.apache.hadoop.ipc.testminirpcbenchmark.testsimple,False,False,False
811,50.0,hadoop,RPC,org.apache.hadoop.ipc.testrpc.testnopings,False,False,False
814,50.0,hadoop,RPC,org.apache.hadoop.ipc.testrpc.testrpcmetrics,False,False,False
820,50.0,hadoop,RpcWritable,org.apache.hadoop.ipc.testrpcwritable.testwritablewrapper,False,False,False
822,50.0,hadoop,WeightedRoundRobinMultiplexer,org.apache.hadoop.ipc.testweightedroundrobinmultiplexer.testinstantiatenegativemux,False,False,False
823,50.0,hadoop,WeightedRoundRobinMultiplexer,org.apache.hadoop.ipc.testweightedroundrobinmultiplexer.testlegalinstantiation,False,False,False
825,50.0,hadoop,InputStreamEntity,org.apache.hadoop.lib.wsrs.testinputstreamentity.test,False,False,False
837,50.0,hadoop,FilePool,org.apache.hadoop.mapred.gridmix.testfilepool.teststriper,False,False,False
844,50.0,hadoop,TupleWritable,org.apache.hadoop.mapred.join.testtuplewritable.testwidetuple,False,False,False
846,50.0,hadoop,NativeCollectorOnlyHandler,org.apache.hadoop.mapred.nativetask.handlers.testnativecollectoronlyhandler.testgetcombiner,False,False,False
863,50.0,hadoop,FileOutputCommitter,org.apache.hadoop.mapred.testfileoutputcommitter.testfailabortv1,False,False,False
869,50.0,hadoop,JobACLsManager,org.apache.hadoop.mapred.testjobaclsmanager.testgroups,False,False,False
870,50.0,hadoop,JobClient,org.apache.hadoop.mapred.testjobclient.testgetclusterstatuswithlocaljobrunner,False,False,False
872,50.0,hadoop,JobName,org.apache.hadoop.mapred.testjobname.testcomplexname,False,False,False
883,50.0,hadoop,ReduceTask,org.apache.hadoop.mapred.testreducetask.testvalueiterator,False,False,False
884,50.0,hadoop,ReduceTask,org.apache.hadoop.mapred.testreducetask.testvalueiteratorwithcompression,False,False,False
886,50.0,hadoop,SequenceFileInputFilter,org.apache.hadoop.mapred.testsequencefileinputfilter.testpercentfilter,False,False,False
905,50.0,hadoop,FrameworkUploader,org.apache.hadoop.mapred.uploader.testframeworkuploader.testconflictingfilesystem,False,False,False
913,50.0,hadoop,JobHistoryEventHandler,org.apache.hadoop.mapreduce.jobhistory.testjobhistoryeventhandler.testdefaultfsisusedforhistory,False,False,False
920,50.0,hadoop,TextSplitter,org.apache.hadoop.mapreduce.lib.db.testtextsplitter.testconvertstr,False,False,False
924,50.0,hadoop,CombineFileInputFormat,org.apache.hadoop.mapreduce.lib.input.testcombinefileinputformat.testsplitplacement,False,False,False
931,50.0,hadoop,LineRecordReader,org.apache.hadoop.mapreduce.lib.input.testlinerecordreader.testsafeguardsplittingunsplittablefiles,False,False,False
951,50.0,hadoop,Fetcher,org.apache.hadoop.mapreduce.task.reduce.testfetcher.testcopyfromhostconnectionrejected,False,False,False
968,50.0,hadoop,TaskID,org.apache.hadoop.mapreduce.testtaskid.testgettasktypechar,False,False,False
987,50.0,hadoop,JobImpl,org.apache.hadoop.mapreduce.v2.app.job.impl.testjobimpl.testkilledduringkillabort,False,False,False
1003,50.0,hadoop,TaskImpl,org.apache.hadoop.mapreduce.v2.app.job.impl.testtaskimpl.testkillrunningtaskattempt,False,False,False
1004,50.0,hadoop,TaskImpl,org.apache.hadoop.mapreduce.v2.app.job.impl.testtaskimpl.testlaunchtaskattempt,False,False,False
1011,50.0,hadoop,ResourceCalculatorUtils,org.apache.hadoop.mapreduce.v2.app.rm.testresourcecalculatorutils.testcomputeavailablecontainers,False,False,False
1012,50.0,hadoop,RMContainerAllocator,org.apache.hadoop.mapreduce.v2.app.rm.testrmcontainerallocator.testattemptnotfoundcausesrmcommunicatorexception,False,False,False
1026,50.0,hadoop,DataStatistics,org.apache.hadoop.mapreduce.v2.app.speculate.testdatastatistics.testemptydatastatistics,False,False,False
1036,50.0,hadoop,AMWebApp,org.apache.hadoop.mapreduce.v2.app.webapp.testamwebapp.testjobview,False,False,False
1038,50.0,hadoop,AMWebApp,org.apache.hadoop.mapreduce.v2.app.webapp.testamwebapp.testtasksview,False,False,False
1046,50.0,hadoop,AppController,org.apache.hadoop.mapreduce.v2.app.webapp.testappcontroller.testgetsinglejobcounter,False,False,False
1063,50.0,hadoop,HsWebApp,org.apache.hadoop.mapreduce.v2.hs.webapp.testhswebapp.testtaskviewnaturalsorttype,False,False,False
