nameProject,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
jimfs,0,26,42,0,0.0,0.0,0.6176470588235294,0.0,0.0,0.0,0.5
joda-time,0,0,395,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
junit-quickcheck,0,1,38,0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.5
luwak,0,2,22,0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.5
marine-api,0,1,90,0,0.0,0.0,0.989010989010989,0.0,0.0,0.0,0.5
nexus-repository-helm,0,1,3,0,0.0,0.0,0.75,0.0,0.0,0.0,0.5
noxy,0,0,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
oci-java-sdk,4,6,37,0,0.4,1.0,0.8723404255319149,0.0851063829787234,0.5714285714285715,0.58667371384069,0.7
one,0,1,1,0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
openpojo,2,1,135,0,0.6666666666666666,1.0,0.9927536231884058,0.014492753623188406,0.8,0.8134892168199607,0.8333333333333333
orbit,0,2,9,0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.5
oryx,8,3,61,29,0.7272727272727273,0.21621621621621623,0.6831683168316832,0.36633663366336633,0.33333333333333337,0.26190025802630507,0.6153088281801153
otto,0,0,7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
pippo,0,10,50,0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.5
querydsl,8,14,562,1,0.36363636363636365,0.8888888888888888,0.9743589743589743,0.015384615384615385,0.5161290322580644,0.5593373466868415,0.6271173271173272
recast4j,0,0,2,1,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666
redpipe,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
retrofit,0,3,93,2,0.0,0.0,0.9489795918367347,0.02040816326530612,0.0,-0.025649458802128853,0.01020408163265306
riptide,0,2,54,0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.5
rxjava2-extras,0,12,78,0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.5
sawmill,0,1,65,1,0.0,0.0,0.9701492537313433,0.014925373134328358,0.0,-0.015151515151515152,0.007462686567164179
search-highlighter,0,0,47,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
spring-boot,0,5,15,0,0.0,0.0,0.75,0.0,0.0,0.0,0.5
spring-cloud-zuul-ratelimit,0,0,15,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
spring-ws,1,58,94,0,0.01694915254237288,1.0,0.6209150326797386,0.006535947712418301,0.03333333333333333,0.10238023616141662,0.5084745762711864
struts,2,22,74,7,0.08333333333333333,0.2222222222222222,0.7238095238095238,0.08571428571428572,0.12121212121212122,-0.004629629629629629,0.18611111111111112
timely,0,0,54,2,0.0,0.0,0.9642857142857143,0.03571428571428571,0.0,0.0,0.5178571428571429
tyrus,0,0,34,4,0.0,0.0,0.8947368421052632,0.10526315789473684,0.0,0.0,0.5526315789473684
undertow,0,1,4,0,0.0,0.0,0.8,0.0,0.0,0.0,0.5
unix4j,0,8,68,1,0.0,0.0,0.8831168831168831,0.012987012987012988,0.0,-0.039058328343225354,0.006493506493506494
vertexium,0,1,83,0,0.0,0.0,0.9880952380952381,0.0,0.0,0.0,0.5
vertx-completable-future,0,0,12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
vertx-mqtt,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
webcollector,1,1,1,0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.75
wikidata-toolkit,4,22,160,14,0.15384615384615385,0.2222222222222222,0.82,0.09,0.18181818181818185,0.08623922381188198,0.223034188034188
wildfly,0,3,14,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.5
wildfly-maven-plugin,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
wro4j,35,50,232,26,0.4117647058823529,0.5737704918032787,0.7784256559766763,0.17784256559766765,0.4794520547945205,0.3511361856630605,0.5306684734783842
yawp,2,0,46,2,1.0,0.5,0.96,0.08,0.6666666666666666,0.6922186552431729,0.77
total,277,1202,7697,457,0.12544875977870584,0.1527559278954621,0.8265701268560094,0.08807210767422786,0.10480829735124078,0.08834203348815546,0.4771221831102814
