Type,ProjectTest,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
cross,hadoop.csv,randomunder_randomsearch_svm,134.0,459.0,1658.0,121.0,0.2115499885625615,0.5326941321768908,0.755482645651882,0.2495242327883663,0.3008502612061072,0.2162124833646827,0.2447009653008652
cross,jimfs.csv,randomunder_randomsearch_svm,0.0,25.0,43.0,0.0,0.0,0.0,0.6457142857142857,0.3542857142857143,0.0,0.0,
cross,nexus-repository-helm.csv,randomunder_randomsearch_svm,0.0,0.0,4.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
cross,aismessages.csv,randomunder_randomsearch_svm,0.0,0.0,12.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
cross,dnsjava.csv,randomunder_randomsearch_svm,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
cross,riptide.csv,randomunder_randomsearch_svm,0.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
cross,noxy.csv,randomunder_randomsearch_svm,0.0,0.0,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
cross,orbit.csv,randomunder_randomsearch_svm,0.0,0.0,11.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
cross,redpipe.csv,randomunder_randomsearch_svm,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
cross,retrofit.csv,randomunder_randomsearch_svm,0.0,0.0,96.0,2.0,0.0,0.0,0.9825757575757575,0.0,0.0,0.0,0.543560606060606
cross,junit-quickcheck.csv,randomunder_randomsearch_svm,0.0,0.0,39.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
cross,total,bestModel,223.0,701.0,8202.0,507.0,0.24134199134199133,0.30547945205479454,0.8745977369459151,0.03917976653721854,0.26964933494558646,0.20377052248224034,0.28099202963321307
