nameProject,tp,fp,tn,fn,precision,recall,accuracy,f1_score,mcc
timely,0,0,54,2,0.0,0.0,0.9642857142857143,0.0,0.0
tyrus,0,0,34,4,0.0,0.0,0.8947368421052632,0.0,0.0
undertow,0,1,4,0,0.0,0.0,0.8,0.0,0.0
unix4j,0,8,68,1,0.0,0.0,0.8831168831168831,0.0,-0.039058328343225354
vertexium,0,1,83,0,0.0,0.0,0.9880952380952381,0.0,0.0
vertx-completable-future,0,0,12,0,0.0,0.0,1.0,0.0,0.0
vertx-mqtt,0,3,0,0,0.0,0.0,0.0,0.0,0.0
webcollector,1,1,1,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5
wikidata-toolkit,4,22,160,14,0.15384615384615385,0.2222222222222222,0.82,0.18181818181818185,0.08623922381188198
wildfly,0,3,14,0,0.0,0.0,0.8235294117647058,0.0,0.0
wildfly-maven-plugin,0,0,2,0,0.0,0.0,1.0,0.0,0.0
wro4j,35,50,232,26,0.4117647058823529,0.5737704918032787,0.7784256559766763,0.4794520547945205,0.3511361856630605
yawp,2,0,46,2,1.0,0.5,0.96,0.6666666666666666,0.6922186552431729
