full_name,name,description,topics,stars,forks,watchers,open_issues,size,created_at,updated_at,pushed_at,archived,disabled,url
tbsalling/aismessages,aismessages,"AISmessages is a Java-based light-weight. zero-dependency. and ultra-efficient message decoder for maritime navigation and safety messages compliant with ITU 1371 (NMEA armoured AIS messages). A live demo of AISmessages is available on http://ais.tbsalling.dk.",[],128,55,128,6,772,2011-03-16T20:47:16Z,2022-06-29T16:06:43Z,2022-07-15T15:54:35Z,False,False,https://github.com/tbsalling/aismessages
ktuukkan/marine-api,marine-api,"Java Marine API - NMEA 0183 library for Java",['0183'- 'ais'- 'autopilot'- 'boating'- 'gps'- 'java'- 'marine'- 'navigation'- 'nmea'- 'radar'- 'sailing'- 'seatalk'- 'sonar'],216,94,216,9,5228,2013-02-20T21:10:29Z,2022-07-18T02:01:13Z,2022-02-05T12:56:43Z,False,False,https://github.com/ktuukkan/marine-api
hexagonframework/spring-data-ebean,spring-data-ebean,"Ebean implementation for spring data.simplifies the development of creating a Ebean-based data access layer. 超简单、超强大的ORM框架，OQL、SQL、ES多查询引擎，超越JPA、Hibernate、Mybatis.",['dto'- 'ebean'- 'jpa'- 'mybatis'- 'spring-boot'- 'spring-data'- 'sql-entity'- 'table-entity'],61,19,61,2,393,2017-06-02T05:19:43Z,2022-03-16T15:52:54Z,2020-10-10T15:44:18Z,False,False,https://github.com/hexagonframework/spring-data-ebean
querydsl/querydsl,querydsl,"Unified Queries for Java",[],3861,781,3861,174,51511,2011-08-05T06:46:32Z,2022-07-19T05:30:41Z,2022-07-20T11:13:52Z,False,False,https://github.com/querydsl/querydsl
OryxProject/oryx,oryx,"Oryx 2: Lambda architecture on Apache Spark. Apache Kafka for real-time large scale machine learning",['apache-kafka'- 'apache-spark'- 'cloudera'- 'java'- 'kafka'- 'lambda-architecture'- 'machine-learning'- 'oryx'],1800,414,1800,1,7464,2014-07-25T20:08:44Z,2022-07-10T14:16:14Z,2021-08-16T11:16:27Z,True,False,https://github.com/OryxProject/oryx
c2mon/c2mon,c2mon,"CERN Control and Monitoring Platform ",['c2mon'- 'cern'- 'cern-control'- 'clustering'- 'gnu-lgplv3'- 'monitoring'- 'scada'],67,18,67,29,38080,2016-06-28T22:15:26Z,2022-06-24T04:58:03Z,2022-07-19T13:33:33Z,False,False,https://github.com/c2mon/c2mon
JodaOrg/joda-time,joda-time,"Joda-Time is the widely used replacement for the Java date and time classes prior to Java SE 8.",['date-time'- 'java'- 'joda'- 'joda-time'],4804,922,4804,25,11915,2011-05-16T16:49:57Z,2022-07-17T08:27:45Z,2022-05-15T22:28:29Z,False,False,https://github.com/JodaOrg/joda-time
flaxsearch/luwak,luwak,"A java library for stored queries",[],376,89,376,24,7393,2013-07-19T12:58:07Z,2022-07-16T06:46:01Z,2021-11-03T16:30:02Z,False,False,https://github.com/flaxsearch/luwak
alien4cloud/alien4cloud,alien4cloud,"Application LIfecycle ENablement for Cloud",['alien4cloud'- 'angularjs'- 'cloud'- 'compass'- 'devops'- 'devops-tools'- 'grunt'- 'java'- 'kubernetes'- 'tosca'],75,66,75,71,28461,2014-10-03T07:34:22Z,2022-05-26T12:35:42Z,2022-07-07T22:45:11Z,False,False,https://github.com/alien4cloud/alien4cloud
CrawlScript/WebCollector,WebCollector,"WebCollector is an open source web crawler framework based on Java.It provides some simple interfaces for crawling the Web.you can setup a multi-threaded web crawler in less than 5 minutes.",[],2916,1457,2916,60,252730,2014-07-12T03:16:12Z,2022-07-16T21:17:18Z,2022-06-21T00:03:52Z,False,False,https://github.com/CrawlScript/WebCollector
fhoeben/hsac-fitnesse-fixtures,hsac-fitnesse-fixtures,"An environment to define and run integration tests. It contains Fitnesse fixture (base) classes and a baseline FitNesse installation.",['fitnesse-fixture'- 'fixtures'- 'hsac-fitnesse-fixtures'- 'integration-testing'- 'rest'- 'selenium'- 'soap'],103,91,103,29,4130,2014-05-10T20:37:07Z,2022-07-03T11:46:23Z,2022-06-24T10:13:07Z,False,False,https://github.com/fhoeben/hsac-fitnesse-fixtures
cescoffier/vertx-completable-future,vertx-completable-future,"An implementation of CompletableFuture for Vert.x",[],74,22,74,7,105,2016-08-09T15:08:17Z,2022-07-10T12:43:24Z,2021-03-31T19:39:15Z,False,False,https://github.com/cescoffier/vertx-completable-future
google/jimfs,jimfs,"An in-memory file system for Java 7+",[],2170,256,2170,34,4155,2013-10-21T14:39:27Z,2022-07-19T16:40:06Z,2022-07-15T20:11:38Z,False,False,https://github.com/google/jimfs
wso2/carbon-apimgt,carbon-apimgt,"None",['hacktoberfest'],116,568,116,76,575872,2014-02-26T06:46:48Z,2022-07-15T15:08:25Z,2022-07-20T09:26:40Z,False,False,https://github.com/wso2/carbon-apimgt
feroult/yawp,yawp,"Kotlin/Java API framework for Google Appengine",['api'- 'appengine'- 'cloud'- 'gcp'- 'java'- 'javascript'- 'nodejs'],133,22,133,49,5563,2014-03-17T16:53:00Z,2022-04-11T20:45:01Z,2022-06-24T20:08:21Z,False,False,https://github.com/feroult/yawp
spinn3r/noxy,noxy,"A HTTP proxy based on netty and littleproxy",[],78,19,78,14,526,2015-11-03T23:06:13Z,2022-07-18T00:38:25Z,2022-07-13T02:33:47Z,False,False,https://github.com/spinn3r/noxy
apache/shardingsphere-elasticjob,shardingsphere-elasticjob,"Distributed scheduled job framework",['cron'- 'database'- 'elasticjob'- 'job'- 'job-management'- 'middleware'- 'quartz'- 'scheduled-jobs'- 'shard'],7616,3186,7616,134,43566,2015-09-11T11:28:52Z,2022-07-20T10:00:57Z,2022-07-19T08:18:31Z,False,False,https://github.com/apache/shardingsphere-elasticjob
NationalSecurityAgency/timely,timely,"Accumulo backed time series database",['accumulo'- 'hacktoberfest'- 'series-database'- 'time-series'- 'timeseries'],364,113,364,16,59951,2016-04-12T21:33:37Z,2022-06-18T17:50:44Z,2022-04-12T22:00:51Z,False,False,https://github.com/NationalSecurityAgency/timely
apache/hbase,hbase,"Apache HBase",['database'- 'hbase'- 'java'],4586,3040,4586,174,468267,2014-05-23T07:00:07Z,2022-07-19T17:11:02Z,2022-07-20T11:23:02Z,False,False,https://github.com/apache/hbase
tools4j/unix4j,unix4j,"An implementation of Unix command line tools in Java.",[],213,38,213,16,1829,2015-08-26T12:04:36Z,2022-07-19T11:43:51Z,2022-01-08T04:59:41Z,False,False,https://github.com/tools4j/unix4j
davidmoten/rxjava2-extras,rxjava2-extras,"Utilities for use with RxJava 2",['concurrency'- 'java'- 'reactive'- 'reactive-streams'- 'reactivex'- 'rxjava'- 'stream'],169,15,169,10,2254,2016-11-02T09:06:25Z,2022-05-08T15:04:08Z,2022-07-15T12:02:53Z,False,False,https://github.com/davidmoten/rxjava2-extras
dropwizard/dropwizard,dropwizard,"A damn simple library for building production-ready RESTful web services.",['dropwizard'- 'hibernate'- 'java'- 'jax-rs'- 'jdbi'- 'jersey-framework'- 'jersey2'- 'jetty'- 'rest'- 'restful-webservices'- 'web-framework'],8242,3423,8242,32,107212,2011-01-19T19:52:29Z,2022-07-20T06:48:10Z,2022-07-20T07:21:06Z,False,False,https://github.com/dropwizard/dropwizard
ctco/cukes,cukes,"Cucumber DSL for testing RESTful Web Services",['api-testing'- 'cucumber'- 'cucumber-jvm'- 'cukes-rest'- 'java'- 'restapi'],98,65,98,44,1383,2015-10-30T14:07:45Z,2022-02-20T22:22:07Z,2022-05-25T23:15:18Z,False,False,https://github.com/ctco/cukes
wildfly/wildfly-maven-plugin,wildfly-maven-plugin,"WildFly Maven Plugin",[],62,76,62,1,4245,2013-06-06T15:58:50Z,2022-07-19T02:51:20Z,2022-07-19T02:11:14Z,False,False,https://github.com/wildfly/wildfly-maven-plugin
javadelight/delight-nashorn-sandbox,delight-nashorn-sandbox,"A sandbox for executing JavaScript with Nashorn in Java.",[],219,70,219,44,663,2015-08-06T21:43:23Z,2022-07-09T04:34:02Z,2021-10-24T20:58:23Z,False,False,https://github.com/javadelight/delight-nashorn-sandbox
square/retrofit,retrofit,"A type-safe HTTP client for Android and the JVM",['android'- 'java'],40244,7155,40244,165,5746,2010-09-06T21:39:43Z,2022-07-20T11:34:14Z,2022-07-12T11:54:53Z,False,False,https://github.com/square/retrofit
Activiti/Activiti,Activiti,"Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people. developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application. on a server. on a cluster or in the cloud. It integrates perfectly with Spring. it is extremely lightweight and based on simple concepts. ",['activiti'- 'bpm'- 'bpmn'- 'business-process'- 'cloud'- 'java'- 'microservices'- 'product-activiti'- 'spring'],8718,6760,8718,465,122620,2012-09-13T11:34:43Z,2022-07-20T06:50:10Z,2022-07-20T04:11:01Z,False,False,https://github.com/Activiti/Activiti
kagkarlsson/db-scheduler,db-scheduler,"Persistent cluster-friendly scheduler for Java",['db-scheduler'- 'hacktoberfest'- 'java'- 'jdbc'- 'job-scheduler'- 'scheduler'- 'spring-boot'- 'task-scheduler'],610,113,610,64,2039,2015-08-12T18:01:34Z,2022-07-20T07:56:23Z,2022-07-07T13:42:18Z,False,False,https://github.com/kagkarlsson/db-scheduler
oracle/oci-java-sdk,oci-java-sdk,"Oracle Cloud Infrastructure SDK for Java",['oracle-cloud'- 'sdk'],143,122,143,35,96856,2016-12-06T04:05:39Z,2022-07-06T06:03:41Z,2022-07-19T18:58:22Z,False,False,https://github.com/oracle/oci-java-sdk
zalando/riptide,riptide,"Client-side response routing for Spring",['async'- 'client-side'- 'http'- 'java'- 'json-stream'- 'microservices'- 'plugin-extension'- 'resilience'- 'routing'- 'spring'- 'spring-boot-starter'- 'web'],228,48,228,13,7338,2015-04-07T18:03:31Z,2022-07-16T16:52:11Z,2022-07-13T07:47:43Z,False,False,https://github.com/zalando/riptide
espertechinc/esper,esper,"Esper Complex Event Processing. Streaming SQL and Event Series Analysis",['cep'- 'compiler'- 'complex-event-processing'- 'esper'- 'espertech'- 'event-series-analysis'- 'java'- 'open-source'- 'streaming-sql'],745,237,745,13,46610,2015-04-06T16:21:10Z,2022-07-15T01:40:08Z,2022-04-05T12:18:20Z,False,False,https://github.com/espertechinc/esper
square/otto,otto,"An enhanced Guava-based event bus with emphasis on Android support.",[],5194,911,5194,18,703,2012-06-27T19:06:49Z,2022-07-12T11:27:24Z,2018-12-17T16:07:14Z,True,False,https://github.com/square/otto
visallo/vertexium,vertexium,"High-security graph database",['accumulo'- 'elasticsearch'- 'graph-database'- 'java'],61,34,61,36,17699,2015-03-06T19:27:47Z,2022-04-29T08:36:50Z,2022-06-30T14:47:03Z,False,False,https://github.com/visallo/vertexium
wildfly/wildfly,wildfly,"WildFly Application Server",['hacktoberfest'],2753,2137,2753,88,249296,2010-07-08T20:46:07Z,2022-07-19T09:46:55Z,2022-07-20T09:26:12Z,False,False,https://github.com/wildfly/wildfly
undertow-io/undertow,undertow,"High performance non-blocking webserver",[],3189,924,3189,59,25180,2012-07-19T00:52:44Z,2022-07-20T09:09:21Z,2022-07-19T06:17:03Z,False,False,https://github.com/undertow-io/undertow
orbit/orbit,orbit,"Orbit - Virtual actor framework for building distributed systems",['actor-model'- 'actors'- 'distributed-actors'- 'distributed-systems'- 'grains'- 'java'- 'jvm'- 'kotlin'- 'orbit'- 'reactive'- 'virtual-actors'],1670,171,1670,3,6693,2015-03-26T20:59:23Z,2022-07-16T10:26:52Z,2021-06-15T14:48:30Z,False,False,https://github.com/orbit/orbit
