Type,nameProject,ModelBalance,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
detector,redpipe,tsdetect_cross,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,
detector,retrofit,tsdetect_cross,1,2,90,5,0.3333333333333333,0.16666666666666666,0.9285714285714286,,0.2222222222222222,0.20169634027201722,
detector,riptide,tsdetect_cross,0,2,48,6,0.0,0.0,0.8571428571428571,,0.0,-0.06666666666666667,
detector,rxjava2-extras,tsdetect_cross,3,9,78,0,0.25,1.0,0.9,,0.4,0.4734320764739993,
detector,sawmill,tsdetect_cross,0,1,26,40,0.0,0.0,0.3880597014925373,,0.0,-0.14982219165849825,
detector,search-highlighter,tsdetect_cross,0,0,47,0,0.0,0.0,1.0,,0.0,0.0,
detector,spring-boot,tsdetect_cross,3,2,11,4,0.6,0.42857142857142855,0.7,,0.5,0.30261376633440124,
detector,spring-cloud-zuul-ratelimit,tsdetect_cross,0,0,15,0,0.0,0.0,1.0,,0.0,0.0,
detector,spring-ws,tsdetect_cross,8,51,85,9,0.13559322033898305,0.47058823529411764,0.6078431372549019,,0.21052631578947367,0.06171751427834858,
detector,struts,tsdetect_cross,7,17,68,13,0.2916666666666667,0.35,0.7142857142857143,,0.31818181818181823,0.14027090192169553,
detector,timely,tsdetect_cross,0,0,41,15,0.0,0.0,0.7321428571428571,,0.0,0.0,
detector,tyrus,tsdetect_cross,0,0,24,14,0.0,0.0,0.631578947368421,,0.0,0.0,
detector,undertow,tsdetect_cross,1,0,4,0,1.0,1.0,1.0,,1.0,1.0,
detector,unix4j,tsdetect_cross,3,5,67,2,0.375,0.6,0.9090909090909091,,0.4615384615384615,0.42846226372129004,
detector,vertexium,tsdetect_cross,0,1,81,2,0.0,0.0,0.9642857142857143,,0.0,-0.01714229740350895,
detector,vertx-completable-future,tsdetect_cross,0,0,12,0,0.0,0.0,1.0,,0.0,0.0,
detector,vertx-mqtt,tsdetect_cross,0,3,0,0,0.0,0.0,0.0,,0.0,0.0,
detector,webcollector,tsdetect_cross,2,0,0,1,1.0,0.6666666666666666,0.6666666666666666,,0.8,0.0,
detector,wikidata-toolkit,tsdetect_cross,6,20,160,14,0.23076923076923078,0.3,0.83,,0.2608695652173913,0.16849862614418157,
detector,wildfly,tsdetect_cross,0,3,14,0,0.0,0.0,0.8235294117647058,,0.0,0.0,
detector,wildfly-maven-plugin,tsdetect_cross,0,0,2,0,0.0,0.0,1.0,,0.0,0.0,
detector,wro4j,tsdetect_cross,35,50,230,28,0.4117647058823529,0.5555555555555556,0.7725947521865889,,0.47297297297297297,0.3381061255591941,
detector,yawp,tsdetect_cross,2,0,46,2,1.0,0.5,0.96,,0.6666666666666666,0.6922186552431729,
detector,total,tsdetect_cross,615,893,7204,921,0.4078249336870027,0.400390625,0.8116889857780546,,0.40407358738501975,0.29227881532583916,
