,idProject,nameProject,productionClass,testCase,NRF,isMysteryGuestManual,isMysteryGuestManual,prediction
16,21.0,oci-java-sdk,RequestSignerImpl,com.oracle.bmc.http.signing.internal.requestsignerimpltest.calculatemissingheaders_postduplicatableinputstreamasplaintext,0.0,False,False,False
17,21.0,oci-java-sdk,DefaultEndpointConfiguration,com.oracle.bmc.internal.defaultendpointconfigurationtest.allvariables_allfilledin,0.0,True,True,False
21,21.0,oci-java-sdk,EndpointBuilder,com.oracle.bmc.internal.endpointbuildertest.createendpoint_usecustomtemplate_alltemplatesused,0.0,True,True,False
22,21.0,oci-java-sdk,WrappedFileInputStream,com.oracle.bmc.io.internal.wrappedfileinputstreamtest.getsourcefile,6.0,False,False,False
29,21.0,oci-java-sdk,MultipartObjectAssembler,com.oracle.bmc.objectstorage.transfer.multipartobjectassemblertest.newrequest,0.0,False,False,False
30,21.0,oci-java-sdk,MultipartObjectAssembler,com.oracle.bmc.objectstorage.transfer.multipartobjectassemblertest.resumeupload_nomatchinguploadid,0.0,False,False,False
32,21.0,oci-java-sdk,UploadManager,com.oracle.bmc.objectstorage.transfer.uploadmanagertest.singleupload_progressreporter,0.0,False,False,False
33,21.0,oci-java-sdk,UploadManager,com.oracle.bmc.objectstorage.transfer.uploadmanagertest.upload_multipartupload_exception,0.0,False,False,False
36,21.0,oci-java-sdk,Services,com.oracle.bmc.servicestest.addexistingservice_conflictingendpointtemplate,0.0,False,False,False
38,21.0,oci-java-sdk,HttpUtils,com.oracle.bmc.util.internal.httputilstest.encodecollectionformatqueryparam_listofnulls,0.0,False,False,False
39,21.0,oci-java-sdk,HttpUtils,com.oracle.bmc.util.internal.httputilstest.encodemapqueryparam_mapofstringtoboolean,0.0,False,False,False
41,21.0,oci-java-sdk,HttpUtils,com.oracle.bmc.util.internal.httputilstest.encodepathsegment_boolean,0.0,False,False,False
42,21.0,oci-java-sdk,HttpUtils,com.oracle.bmc.util.internal.httputilstest.encodepathsegment_character,0.0,False,False,False
43,21.0,oci-java-sdk,HttpUtils,com.oracle.bmc.util.internal.httputilstest.encodepathsegment_uuid,0.0,False,False,False
45,21.0,oci-java-sdk,MaxTimeTerminationStrategy,com.oracle.bmc.waiter.maxtimeterminationstrategytest.shouldnotterminate,2.0,False,False,False
