,idProject,nameProject,productionClass,testCase,SR,isTestRedundancy,isTestRedundancyManual,prediction
155,49.0,hbase,BucketCache,org.apache.hadoop.hbase.io.hfile.bucket.testbucketcache.testvalidbucketcacheconfigs,0.0,False,False,False
156,49.0,hbase,FileIOEngine,org.apache.hadoop.hbase.io.hfile.bucket.testfileioengine.testrefreshfileconnection,0.0,False,False,False
157,49.0,hbase,CacheConfig,org.apache.hadoop.hbase.io.hfile.testcacheconfig.testl2cachewithinvalidbucketsize,0.0,False,False,False
159,49.0,hbase,HFile,org.apache.hadoop.hbase.io.hfile.testhfile.testcorrupt0lengthhfile,0.0,False,False,False
161,49.0,hbase,HFileBlock,org.apache.hadoop.hbase.io.hfile.testhfileblock.testdatablockencoding,0.0,False,False,False
162,49.0,hbase,HFileBlock,org.apache.hadoop.hbase.io.hfile.testhfileblock.testgzipcompression,0.0,False,False,False
164,49.0,hbase,HFileBlockIndex,org.apache.hadoop.hbase.io.hfile.testhfileblockindex.testblockindexchunk,0.0,False,False,False
165,49.0,hbase,HFileBlockIndex,org.apache.hadoop.hbase.io.hfile.testhfileblockindex.testintermediatelevelindiceswithlargekeyswithminnumentries,0.0,False,False,False
169,49.0,hbase,LruBlockCache,org.apache.hadoop.hbase.io.hfile.testlrublockcache.testcacheevictionthreepriorities,0.0,False,False,False
170,49.0,hbase,LruBlockCache,org.apache.hadoop.hbase.io.hfile.testlrublockcache.testcacheevictiontwopriorities,0.0,False,False,False
171,49.0,hbase,ByteBufferListOutputStream,org.apache.hadoop.hbase.io.testbytebufferlistoutputstream.testwrites,0.0,False,False,False
172,49.0,hbase,ByteBufferOutputStream,org.apache.hadoop.hbase.io.testbytebufferoutputstream.testbytebufferreuse,0.0,False,False,False
177,49.0,hbase,HeapSize,org.apache.hadoop.hbase.io.testheapsize.testnativesizes,0.0,False,False,False
179,49.0,hbase,TagCompressionContext,org.apache.hadoop.hbase.io.testtagcompressioncontext.testcompressuncompresstagswithoffheapkeyvalue2,0.0,False,False,False
180,49.0,hbase,LRUDictionary,org.apache.hadoop.hbase.io.util.testlrudictionary.testlrupolicy,0.0,False,False,False
181,49.0,hbase,BufferChain,org.apache.hadoop.hbase.ipc.testbufferchain.testwithspy,0.0,False,False,False
185,49.0,hbase,IPCUtil,org.apache.hadoop.hbase.ipc.testipcutil.testwrapexception,0.0,False,False,False
